article_tile,label
Desperate Barnes &amp; Noble To Give Unlimited Free Tablets To Anyone Who Walks In Store,1
Live birth broadcast cancelled after panda fakes pregnancy to get more food,0
Oregon family dial 911 after 22-pound pet cat holds them hostage in bedroom,0
News: Making Things Easier: The FDA Has Announced That Any Round Food Is A Meatball,1
Ferry McFerryface has Ferry McFucked itself into a warf,0
Annual pillow fight at West Point turns violent; 30 cadets hurt,0
"After a 4-year-old took doll from store, video shows Phoenix police pulling gun on parents",0
Austrian teacher receives warning after killing rabbits in front of class,0
Blog: Abstinence-Only Education Is As Doomed To Fail As The Robo-Chronotaur Built To Fight The Chronotaur In My Screenplay ‘Chronotaur: Labyrinth Of Time’,1
LeBron James Credits Teammates With Providing 4 Bodies Necessary To Avoid Forfeiture Against Pacers,1
"Husband, wife share story of coming out together, 20 years into their marriage",0
Tearful Trump Admits NATO Alliance Closest Thing To Friendship He’s Ever Had,1
"They Said What?!: Find Out What Tim Cook, Tobey Maguire, And Wolfgang Puck Have To Say",1
Women warned not to use ice lollies internally on hot day,0
Study of self-driving cars shows other drivers are good at hitting them,0
Man Just Going To Assume This Counts As ‘Minced’,1
Harvard Officials Say $8.9 Million Donation From Jeffrey Epstein Was From Brief Recovery Period When He Wasn’t A Pedophile,1
Alligator becomes crime fighting beast as it catches car thief,0
Portland Police Say It's Fine If Officers Punch Suspects They Think are Noncompliant in the Face,0
"Cuyahoga Falls, OH school assignment asks students to decide who 'deserves' to survive 'doomed Earth' based on race, religion, sexuality",0
Man Who Took Poverty Vow Wins $259.8M Powerball Jackpot,0
"NYC Makes 11th Avenue One Way With No Warning, Then Tickets Drivers For Not Knowing",0
"""Bronx gym teacher was fired after refusing to have threesome with her tenured boss and her boyfriend""",0
The Pros And Cons Of Universal Basic Income,1
Police in Thailand forced to shoot out cars tires as American tourist refused to stop driving the wrong way,0
North Korea 'feeding workers crystal meth' to speed up skyscraper project,0
"Woman Has Drawn-On Eyebrows, Nose, Eyes, Mouth",1
Man calls police to report ex-girlfriend for overfeeding hamster leaving him 'looking like a fat little pig',0
Fucking Loser At Movie All By Himself | The Onion - America's Finest News Source,1
"Victims take gun from suspects during home invasion, suspects come back asking for their gun",0
Government cut disability benefits of man with no legs 'because he could climb stairs with his arms',0
Colgate Unveils New Dental Grout To Fill In Gaps Between Teeth,1
Deputies follow trail of beer cans to find escaped inmate,0
Seasonal Depression Kicks In Just In Time To Numb Woman Before Holiday With Family,1
"As Chief of Police, I Believe Even 500 Murders Is Too Many",1
Obamacare: Recklessly Providing More Americans With Access To Longer Lifespans,1
"We are 'heroes,' says police chief whose force arrested a photographer",0
Fossilized Evidence Reveals Spazosaurus Was Largest Doofus To Ever Roam Earth | The Onion - America's Finest News Source,1
Law to declare a single parent raising a child to be child abuse,0
New believers bubble up at First Pastafarian Church of Norman,0
"Two female high school teachers, said to be friends, accused of having threesome with male student",0
Omarosa Searches Through Tapes Of Everyone Else In White House Using N-Word For One Of Trump,1
Impoverished Child In Third World Dreams About One Day Leaving Light On For No Reason,1
